model_type,dataset,timestamp,accuracy,precision,recall,f1,auc_roc,auc_pr,train_samples,test_samples
logistic_regression,german_credit,2026-03-23 10:51:00,0.715,0.5176470588235295,0.7333333333333333,0.6068965517241379,0.7902380952380952,0.6073036596275605,800,200
logistic_regression,credit_card,2026-03-23 10:51:19,0.8542814221331998,0.826187183033656,0.8973460190285428,0.8602976476236198,0.8953964246319404,0.8503208005343494,15972,3994
random_forest,credit_card,2026-03-23 10:51:22,0.9939909864797196,0.9881246907471549,1.0,0.9940268790443006,0.999985205650238,0.9999852278259747,15972,3994
xgboost,credit_card,2026-03-23 10:51:22,0.9984977466199298,0.9970044932601099,1.0,0.9985,1.0,1.0,15972,3994
logistic_regression,german_credit,2026-03-23 10:51:22,0.715,0.5176470588235295,0.7333333333333333,0.6068965517241379,0.7902380952380952,0.6073036596275605,800,200
random_forest,german_credit,2026-03-23 10:51:22,0.77,0.6458333333333334,0.5166666666666667,0.5740740740740741,0.8077380952380953,0.674636277571595,800,200
xgboost,german_credit,2026-03-23 10:51:22,0.775,0.6744186046511628,0.48333333333333334,0.5631067961165048,0.7957142857142857,0.660185629858216,800,200
